optimize_method,N,mean,median,std,N_pairs,p_value,rank_biserial_r,r_95%CI
code,100,0.8709358169308278,0.9376077609635096,0.1651671784032666,100.0,5.246687687977603e-11,0.756039603960396,"[0.657, 0.829]"
"code,function",40,0.9719374984166278,0.9814546710009204,0.026713306925009672,40.0,1.03669663076289e-07,0.8658536585365854,"[0.759, 0.927]"
"code,native",40,0.9657527978488426,0.9693656212327186,0.007797933946414447,40.0,7.821654435247183e-11,0.975609756097561,"[0.954, 0.987]"
function,90,0.9269397346406696,0.9598265044061507,0.08103533417479708,90.0,8.244355176478002e-12,0.8295482295482295,"[0.752, 0.885]"
mixed,100,0.9732978023280172,0.9706794588564458,0.010664337318355383,100.0,4.2663227307182344e-18,0.9988118811881188,"[0.998, 0.999]"
multi,20,0.6046365872237992,0.6025025010440286,0.2912309559781345,20.0,8.20159912109375e-05,-0.9047619047619048,"[-0.962, -0.771]"
native,100,0.9669772769598404,0.9687304566389985,0.01145789698897882,100.0,5.112831740936498e-18,0.9964356435643564,"[0.995, 0.998]"
"native,function",40,0.9661967113679077,0.9697934380694679,0.007727372038093782,40.0,1.8189894035458565e-12,1.0,n/a
network,10,0.8917025208267038,0.8925349447847628,0.0041676667060741995,10.0,0.921875,-0.054545454545454564,n/a
object,100,0.8733612342851841,0.9156134770736277,0.1261324308015511,100.0,0.00024379399082386435,0.4225742574257426,"[0.247, 0.572]"
origin,100,0.8426383123428838,0.9151362274644352,0.16412882777974108,,,,
other,100,0.8665388958836547,0.9621249754629505,0.23991956610089363,100.0,0.006466204994263923,0.3136633663366336,"[0.125, 0.480]"
